"Nome","Cidade","Estado","Plano","Status","Data Cadastro","Link"
"ANA SHOES PVA","Primavera do Leste","MT","premium","aprovado","31/03/2026","https://guialocalbr.com.br/empresa/ana-shoes-pva"
"Espaço de Vida Saudável Cintia Costa – Shakes, Chás, Hype Drink e Slin Day em Santa Quitéria | EVS","Curitiba","PR","free","aprovado","24/03/2026","https://guialocalbr.com.br/empresa/espaco-de-vida-saudavel-cintia-costa-shakes-chas-hype-drink-e-slin-day-em-santa-quiteria-evs"
"Ampliato - Beleza e Estética em Cuiabá, MT","Cuiabá","MT","free","aprovado","13/03/2026","https://guialocalbr.com.br/empresa/ampliato-beleza-e-estetica-em-cuiaba-mt"
"Farmácia Brasil Poupa Lar - São José dos Pinhais","São José dos Pinhais","PR","free","aprovado","10/03/2026","https://guialocalbr.com.br/empresa/farmacia-brasil-poupa-lar-sao-jose-dos-pinhais"
"Pequerrucha Laços e Mimos","Pouso Alegre","MG","premium","aprovado","09/03/2026","https://guialocalbr.com.br/empresa/pequerrucha-lacos-e-mimos"
"RK Facas, Acessórios e Gravações à Laser | São Jose dos Pinhais","São José dos Pinhais","PR","free","aprovado","03/03/2026","https://guialocalbr.com.br/empresa/rk-facas-acessorios-e-gravacoes-a-laser-sao-jose-dos-pinhais"
"Top Dog Clínica Veterinária 24h e Banho & Tosa","Pouso Alegre","MG","free","aprovado","26/02/2026","https://guialocalbr.com.br/empresa/top-dog-clinica-veterinaria-24h-e-banho-tosa"
"Lava Rapido Stock Car","Americana","SP","free","aprovado","25/02/2026","https://guialocalbr.com.br/empresa/lava-rapido-stock-car"
"Digisat Antenas","Pouso Alegre","MG","free","aprovado","25/02/2026","https://guialocalbr.com.br/empresa/digisat-antenas"
"Mineirinho Pet","Alfenas","MG","free","aprovado","25/02/2026","https://guialocalbr.com.br/empresa/mineirinho-pet"
"Chinchila Queens Pet´s","Pouso Alegre","MG","free","aprovado","25/02/2026","https://guialocalbr.com.br/empresa/chinchila-queens-pet-s"
"Auto Socorro Jacaré Rota 381","Pouso Alegre","MG","free","aprovado","25/02/2026","https://guialocalbr.com.br/empresa/auto-socorro-jacare-rota-381"
"Alexandre Haddad | Advogado de Família e Inventário","Nova Aurora","PR","free","aprovado","24/02/2026","https://guialocalbr.com.br/empresa/alexandre-haddad-advogado-de-familia-e-inventario"
"Lavihê - Carrinho Gourmet","Pouso Alegre","MG","premium","aprovado","23/02/2026","https://guialocalbr.com.br/empresa/lavihe-carrinho-gourmet"
"Ateliê Mãe e Filha – Bordados e Artesanato","Nova Odessa","SP","premium","aprovado","23/02/2026","https://guialocalbr.com.br/empresa/atelie-mae-e-filha-bordados-e-artesanato"
"Ousia Estética Corporal & Massoterapia","Pouso Alegre","MG","premium","aprovado","20/02/2026","https://guialocalbr.com.br/empresa/ousia-estetica-corporal-massoterapia"
"CF Carrinhos Gourmet","Cotia","SP","free","aprovado","30/01/2026","https://guialocalbr.com.br/empresa/cf-carrinhos-gourmet"
"Flor Estética Dai","Araraquara","SP","premium","aprovado","19/01/2026","https://guialocalbr.com.br/empresa/flor-estetica-dai"
"Eder Oliveira - Estrategista Digital","Pouso Alegre","MG","premium","aprovado","16/01/2026","https://guialocalbr.com.br/empresa/eder-oliveira-estrategista-digital"
